CODIGO_REGION,NOMBRE_PROVINCIA,REGION_NOMBRE
1,ESPAILLAT,CIBAO NORTE
1,PUERTO PLATA,CIBAO NORTE
1,SANTIAGO,CIBAO NORTE
2,LA VEGA,CIBAO SUR
2,MONSENOR NOUEL,CIBAO SUR
2,SANHCEZ RAMIREZ,CIBAO SUR
3,DUARTE,CIBAO NORDESTE
3,HERMANAS MIRABAL,CIBAO NORDESTE
3,MARIA TRINIDAD SANCHEZ,CIBAO NORDESTE
3,SAMANA,CIBAO NORDESTE
4,DAJABON,CIBAO NOROESTE
4,MONTE CRISTI,CIBAO NOROESTE
4,SANTIAGO RODRIGUEZ,CIBAO NOROESTE
4,VALVERDE,CIBAO NOROESTE
5,PERAVIA,REGION VALDESIA
5,SAN CRISTOBAL,REGION VALDESIA
5,SAN JOSE DE OCOA,REGION VALDESIA
6,BAORUCO,REGION ENRIQUILLO
6,BARAHONA,REGION ENRIQUILLO
6,INDEPENDENCIA,REGION ENRIQUILLO
6,PERDENALES,REGION ENRIQUILLO
7,AZUA,REGION EL VALLE
7,ELIAS PINA,REGION EL VALLE
7,SAN JUAN,REGION EL VALLE
8,EL SEIBO,REGION YUMA
8,LA ALTAGRACIA,REGION YUMA
8,LA ROMANA,REGION YUMA
9,HATO MAYOR,REGION HIGUAMO
9,MONTE PLATA,REGION HIGUAMO
9,SAN PEDRO DE MACORIS,REGION HIGUAMO
10,DISTRITO NACIONAL,REGION OZAMA
10,SANTO DOMINGO,REGION OZAMA
